Date,Close,High,Low,Open,Volume,Adj Close
2022-11-22,656.0499877929688,694.0,650.0,689.9500122070312,33869,
2022-11-23,641.0999755859375,660.0,635.0999755859375,660.0,8672,
2022-11-24,636.0499877929688,657.0,628.0,657.0,11723,
2022-11-25,639.6500244140625,645.0499877929688,632.0499877929688,641.9500122070312,7283,
2022-11-28,628.2999877929688,645.0,619.9000244140625,645.0,10296,
2022-11-29,602.75,639.9500122070312,571.0999755859375,637.7000122070312,22569,
2022-11-30,597.7999877929688,616.9000244140625,583.0499877929688,611.75,21293,
2022-12-01,584.75,610.0,577.0,609.9500122070312,22352,
2022-12-02,598.8499755859375,602.0,576.3499755859375,590.5999755859375,27636,
2022-12-05,635.5,648.1500244140625,595.0499877929688,598.0,26600,
2022-12-06,656.4000244140625,674.7999877929688,602.5,644.9500122070312,65503,
2022-12-07,664.2999877929688,674.0,625.5499877929688,660.0,44077,
2022-12-08,653.7000122070312,682.0,644.25,670.4000244140625,41372,
2022-12-09,630.7000122070312,669.0,627.0,658.0,27632,
2022-12-12,621.3499755859375,640.0,614.0,638.0,14659,
2022-12-13,615.7999877929688,625.0,609.6500244140625,624.7999877929688,12395,
2022-12-14,618.2999877929688,626.0,603.3499755859375,620.0,13900,
2022-12-15,625.7999877929688,633.9500122070312,611.4500122070312,620.0,10056,
2022-12-16,614.4000244140625,630.25,604.0999755859375,625.25,11509,
2022-12-19,609.2000122070312,623.9500122070312,603.5499877929688,620.9000244140625,8326,
2022-12-20,596.6500244140625,625.0,592.0,608.7000122070312,20036,
2022-12-21,576.25,607.9000244140625,557.6500244140625,603.8499755859375,30083,
2022-12-22,560.25,598.9500122070312,551.7000122070312,598.9500122070312,19843,
2022-12-23,537.0,565.0499877929688,523.0,563.0,31522,
2022-12-26,566.7000122070312,575.0,537.0999755859375,575.0,17766,
2022-12-27,591.6500244140625,599.9500122070312,561.2999877929688,575.2000122070312,16112,
2022-12-28,645.0499877929688,659.9500122070312,595.25,595.4000244140625,117368,
2022-12-29,655.8499755859375,661.3499755859375,641.4000244140625,654.0,51248,
2022-12-30,636.2000122070312,674.0,619.7999877929688,663.4000244140625,24343,
2023-01-02,623.2999877929688,652.75,616.5,645.75,9633,
2023-01-03,619.6500244140625,629.5499877929688,608.7999877929688,629.5499877929688,8294,
2023-01-04,599.1500244140625,619.9000244140625,591.0499877929688,616.0499877929688,14718,
2023-01-05,602.3499755859375,608.9000244140625,590.0,605.0,10124,
2023-01-06,591.9500122070312,613.3499755859375,586.2999877929688,611.4000244140625,5467,
2023-01-09,589.9000244140625,610.0,585.0,593.7999877929688,9152,
2023-01-10,603.0499877929688,613.9500122070312,580.0,593.2999877929688,9552,
2023-01-11,602.25,626.0,599.0,614.0,9860,
2023-01-12,585.0999755859375,614.2000122070312,575.0,608.3499755859375,11117,
2023-01-13,577.6500244140625,600.0,575.0999755859375,599.9000244140625,12289,
2023-01-16,586.7999877929688,599.0,581.0,592.0,9283,
2023-01-17,594.0499877929688,596.75,585.25,585.25,2507,
2023-01-18,588.0,604.0,575.0,603.9000244140625,8117,
2023-01-19,598.0499877929688,604.0,582.1500244140625,588.2999877929688,7775,
2023-01-20,569.2000122070312,617.5499877929688,565.0499877929688,600.0,39876,
2023-01-23,562.2999877929688,565.2000122070312,536.7000122070312,545.0,36008,
2023-01-24,554.8499755859375,572.75,546.9000244140625,568.9500122070312,12542,
2023-01-25,556.75,561.0,546.0499877929688,557.0,8638,
2023-01-27,544.3499755859375,561.0,536.0,561.0,13332,
2023-01-30,542.75,559.0,534.9000244140625,559.0,10792,
2023-01-31,549.5499877929688,556.0499877929688,543.25,544.7000122070312,4069,
2023-02-01,525.3499755859375,564.7000122070312,516.9000244140625,550.0,22098,
2023-02-02,535.5,543.6500244140625,527.0,533.25,7671,
2023-02-03,539.1500244140625,552.0,525.0,539.0,5811,
2023-02-06,542.0499877929688,549.9000244140625,536.0499877929688,545.0,3462,
2023-02-07,545.2000122070312,550.3499755859375,535.0499877929688,535.0499877929688,2576,
2023-02-08,536.2999877929688,555.0,535.0,555.0,6644,
2023-02-09,559.3499755859375,595.0,533.1500244140625,539.0,33040,
2023-02-10,549.8499755859375,566.2999877929688,546.5,559.3499755859375,5279,
2023-02-13,534.5,558.0,532.0,558.0,7589,
2023-02-14,529.7999877929688,543.0,528.0,543.0,6573,
2023-02-15,530.8499755859375,538.9000244140625,529.0,531.2999877929688,3514,
2023-02-16,536.2000122070312,542.0,532.75,534.5,3046,
2023-02-17,528.8499755859375,545.0999755859375,520.0,540.0999755859375,9074,
2023-02-20,534.0,539.9500122070312,531.0,537.0,3252,
2023-02-21,525.25,538.9000244140625,512.7999877929688,535.0499877929688,9550,
2023-02-22,532.9500122070312,539.0,517.5499877929688,524.0,5475,
2023-02-23,531.0,537.0,526.0,529.7000122070312,5150,
2023-02-24,527.5,537.0,524.0,528.75,5187,
2023-02-27,524.5499877929688,536.25,520.0,520.0499877929688,5830,
2023-02-28,525.8499755859375,535.0,523.0,534.8499755859375,2705,
2023-03-01,523.5999755859375,532.0,520.0,524.9000244140625,8680,
2023-03-02,520.3499755859375,526.5999755859375,517.0999755859375,521.2999877929688,5873,
2023-03-03,517.0999755859375,532.0,505.0499877929688,532.0,9236,
2023-03-06,559.0,564.4000244140625,521.5499877929688,526.7000122070312,28382,
2023-03-08,574.4500122070312,578.9000244140625,540.25,559.0,35556,
2023-03-09,575.3499755859375,595.2999877929688,570.0499877929688,576.6500244140625,39480,
2023-03-10,561.8499755859375,584.0,554.5999755859375,579.6500244140625,31504,
2023-03-13,535.5,570.0,531.0,546.5,28809,
2023-03-14,542.1500244140625,550.9500122070312,530.9000244140625,540.0,25471,
2023-03-15,544.4000244140625,550.0,536.9000244140625,549.0,22688,
2023-03-16,556.5999755859375,568.75,533.7000122070312,540.0,77116,
2023-03-17,551.75,563.7999877929688,542.25,562.0,24450,
2023-03-20,561.4000244140625,571.6500244140625,544.0,559.7999877929688,39709,
2023-03-21,569.0999755859375,572.9000244140625,560.7999877929688,563.4000244140625,25625,
2023-03-22,561.7000122070312,585.0,551.0,573.5,27613,
2023-03-23,554.2999877929688,577.7999877929688,552.0,561.7000122070312,27226,
2023-03-24,541.9500122070312,562.0,535.0,554.2999877929688,37667,
2023-03-27,523.7000122070312,540.0,520.0999755859375,540.0,32433,
2023-03-28,511.25,520.2000122070312,496.7000122070313,520.0999755859375,33044,
2023-03-29,519.7000122070312,535.3499755859375,506.0,515.7999877929688,34938,
2023-03-31,523.75,529.9000244140625,521.4500122070312,523.2000122070312,30233,
2023-04-03,561.0999755859375,565.0,528.5,537.9500122070312,37336,
2023-04-05,632.1500244140625,666.0,568.9500122070312,569.0,197825,
2023-04-06,612.25,638.0,608.0,632.1500244140625,37004,
2023-04-10,663.9500122070312,689.0,625.5499877929688,640.0,134392,
2023-04-11,666.7999877929688,691.9500122070312,644.5999755859375,671.7999877929688,51678,
2023-04-12,669.2999877929688,675.0,649.9500122070312,675.0,38255,
2023-04-13,654.6500244140625,671.0,645.0999755859375,669.75,45430,
2023-04-17,657.3499755859375,670.0499877929688,642.2999877929688,642.2999877929688,48332,
2023-04-18,701.1500244140625,704.9500122070312,652.25,658.0499877929688,101325,
2023-04-19,678.75,717.0499877929688,670.25,702.2000122070312,57486,
2023-04-20,573.5499877929688,697.0999755859375,544.0,692.4000244140625,247274,
2023-04-21,546.1500244140625,565.4000244140625,505.8999938964844,565.0,252779,
2023-04-24,532.3499755859375,568.0,526.5499877929688,548.0,76594,
2023-04-25,518.1500244140625,539.7999877929688,509.0,539.7999877929688,76246,
2023-04-26,528.0,545.9500122070312,522.5999755859375,532.0,57344,
