Date,Close,High,Low,Open,Volume,Adj Close
2025-10-06,139.77000427246094,142.97999572753906,126.0999984741211,134.0,401671,
2025-10-07,145.2100067138672,149.0,140.80999755859375,140.82000732421875,157425,
2025-10-08,144.36000061035156,147.39999389648438,138.6300048828125,147.39999389648438,98840,
2025-10-09,145.07000732421875,151.19000244140625,145.0,148.88999938964844,149816,
2025-10-10,148.50999450683594,149.99000549316406,143.0,144.0,85772,
2025-10-13,149.02999877929688,151.3800048828125,147.74000549316406,149.25999450683594,246731,
2025-10-14,148.5,151.0,147.02000427246094,151.0,152413,
2025-10-15,151.6999969482422,154.19000244140625,146.25,146.25,138277,
2025-10-16,160.05999755859375,162.49000549316406,151.6999969482422,151.6999969482422,160971,
2025-10-17,162.3699951171875,165.0,157.83999633789062,163.85000610351562,88676,
2025-10-20,164.9499969482422,169.0,163.17999267578125,163.17999267578125,119185,
2025-10-21,168.6699981689453,170.0,166.1699981689453,168.0,15474,
2025-10-23,167.2100067138672,171.0,167.0,167.00999450683594,89725,
2025-10-24,157.85000610351562,170.0,156.39999389648438,168.0500030517578,154386,
2025-10-27,161.58999633789062,167.2100067138672,156.52999877929688,158.0,71690,
2025-10-28,161.82000732421875,164.99000549316406,160.0,163.1999969482422,54904,
2025-10-29,162.63999938964844,166.97000122070312,161.0,161.0,44025,
2025-10-30,164.2899932861328,169.0,161.3000030517578,162.63999938964844,117175,
2025-10-31,164.80999755859375,167.0,163.39999389648438,165.5800018310547,80851,
2025-11-03,160.33999633789062,167.49000549316406,158.0,164.89999389648438,68340,
2025-11-04,166.57000732421875,176.32000732421875,162.5,163.5,1728805,
2025-11-06,162.82000732421875,167.8800048828125,161.5,166.3000030517578,113075,
2025-11-07,163.41000366210938,165.61000061035156,155.72000122070312,161.1999969482422,431805,
2025-11-10,164.00999450683594,165.2899932861328,162.8000030517578,163.41000366210938,115586,
2025-11-11,160.30999755859375,164.5,160.0,161.5500030517578,23927,
2025-11-12,159.1300048828125,162.38999938964844,154.57000732421875,161.89999389648438,44326,
2025-11-13,157.3000030517578,160.69000244140625,155.1999969482422,155.1999969482422,168787,
2025-11-14,152.02999877929688,155.35000610351562,149.39999389648438,154.8000030517578,98745,
2025-11-17,151.88999938964844,154.0800018310547,150.5,150.5,82339,
2025-11-18,154.05999755859375,154.9600067138672,147.5,147.5,76387,
2025-11-19,151.2899932861328,156.07000732421875,151.0,151.0,62979,
2025-11-20,152.92999267578125,156.3300018310547,151.0,155.3300018310547,77558,
2025-11-21,162.1199951171875,165.5,154.27000427246094,155.8800048828125,123894,
2025-11-24,166.1999969482422,177.89999389648438,163.75,163.75,563917,
2025-11-25,160.33999633789062,171.38999938964844,158.47000122070312,169.85000610351562,119400,
2025-11-26,167.2899932861328,170.0,159.80999755859375,162.25,95486,
2025-11-27,165.4600067138672,169.64999389648438,161.0,169.64999389648438,71807,
2025-11-28,163.14999389648438,167.5,161.10000610351562,163.8000030517578,81374,
2025-12-01,161.0500030517578,163.24000549316406,160.0,161.0,61094,
2025-12-02,158.85000610351562,163.5,156.11000061035156,158.64999389648438,79003,
2025-12-03,157.9600067138672,160.89999389648438,155.41000366210938,156.0,76059,
2025-12-04,157.72999572753906,159.0399932861328,155.00999450683594,155.02000427246094,81105,
2025-12-05,157.77000427246094,158.99000549316406,156.5500030517578,156.5500030517578,59147,
2025-12-08,158.6199951171875,163.99000549316406,154.5,154.5,67101,
2025-12-09,163.5800018310547,167.0,156.25,156.25,67010,
2025-12-10,163.4499969482422,165.6699981689453,160.6199951171875,164.39999389648438,74775,
2025-12-11,162.36000061035156,164.0,157.10000610351562,157.10000610351562,71078,
2025-12-12,160.16000366210938,163.1999969482422,158.11000061035156,160.64999389648438,60541,
2025-12-15,165.9199981689453,174.0,160.38999938964844,162.5500030517578,183452,
2025-12-16,160.74000549316406,165.52000427246094,159.02000427246094,165.52000427246094,109617,
2025-12-17,159.1699981689453,165.1999969482422,157.5,165.1999969482422,61337,
2025-12-18,155.16000366210938,160.8000030517578,153.1199951171875,159.14999389648438,78825,
2025-12-19,155.85000610351562,158.67999267578125,153.3000030517578,153.3000030517578,62156,
2025-12-22,156.13999938964844,157.6999969482422,153.5500030517578,153.5500030517578,77212,
2025-12-23,155.8699951171875,158.27999877929688,155.0,158.27999877929688,63889,
2025-12-24,154.27000427246094,155.6999969482422,153.66000366210938,154.05999755859375,61074,
2025-12-26,152.19000244140625,155.44000244140625,151.19000244140625,154.27000427246094,74009,
2025-12-29,149.30999755859375,158.83999633789062,142.8300018310547,151.42999267578125,128342,
2025-12-30,137.64999389648438,167.0,133.4600067138672,150.8000030517578,17292705,
2025-12-31,137.33999633789062,149.5399932861328,133.8000030517578,138.5,5580025,
2026-01-01,141.6300048828125,146.25,137.99000549316406,137.99000549316406,685112,
2026-01-02,141.82000732421875,147.0,139.1999969482422,143.75,312906,
2026-01-05,135.5500030517578,144.99000549316406,132.99000549316406,142.9499969482422,306955,
2026-01-06,109.87000274658205,143.5800018310547,108.44000244140624,137.60000610351562,5539940,
2026-01-07,108.56999969482422,114.83999633789062,101.0,112.6500015258789,3922341,
2026-01-08,112.12999725341795,118.38999938964844,110.5500030517578,111.5,2999364,
2026-01-09,108.76000213623048,117.0,105.3499984741211,113.02999877929688,802457,
2026-01-12,108.02999877929688,110.83999633789062,104.0999984741211,109.62999725341795,535359,
2026-01-13,105.95999908447266,109.29000091552734,104.25,109.0999984741211,263534,
2026-01-14,103.5999984741211,106.48999786376952,101.4800033569336,105.5,194716,
2026-01-15,103.5999984741211,103.5999984741211,103.5999984741211,103.5999984741211,0,
2026-01-16,102.8499984741211,106.9499969482422,102.0,106.5,227173,
2026-01-19,100.0199966430664,106.3000030517578,99.30999755859376,104.04000091552734,297106,
2026-01-20,96.83000183105467,101.54000091552734,95.83999633789062,100.0,231363,
2026-01-21,94.0999984741211,96.6999969482422,91.30999755859376,96.0,292066,
2026-01-22,91.68000030517578,94.95999908447266,86.5199966430664,91.3499984741211,432144,
